State,Area,Year
New South Wales,322.7,2002
New South Wales,331.2,2003
New South Wales,341.4,2004
New South Wales,331.6,2005
New South Wales,345.5,2006
New South Wales,359.1,2007
New South Wales,370.1,2008
New South Wales,383.2,2009
New South Wales,391.3,2010
New South Wales,391.6,2011
New South Wales,391.9,2012
New South Wales,392.2,2013
New South Wales,390,2014
New South Wales,393,2015
New South Wales,394.4,2016
New South Wales,394.4,2017
New South Wales,393.2,2018
New South Wales,393.2,2019
New South Wales,360.1,2020
New South Wales,347.9,2021
Victoria,359.9,2002
Victoria,366.6,2003
Victoria,383.3,2004
Victoria,384.6,2005
Victoria,395.7,2006
Victoria,411.9,2007
Victoria,422.1,2008
Victoria,424.2,2009
Victoria,430.5,2010
Victoria,432.9,2011
Victoria,433.6,2012
Victoria,433.5,2013
Victoria,433.1,2014
Victoria,423,2015
Victoria,423,2016
Victoria,421.7,2017
Victoria,420.6,2018
Victoria,418.5,2019
Victoria,386.6,2020
Victoria,382.6,2021
Tasmania,213.4,2002
Tasmania,222.7,2003
Tasmania,225.7,2004
Tasmania,227.2,2005
Tasmania,247.7,2006
Tasmania,274.2,2007
Tasmania,294.1,2008
Tasmania,309.2,2009
Tasmania,309.1,2010
Tasmania,310.7,2011
Tasmania,310.7,2012
Tasmania,310.7,2013
Tasmania,310.7,2014
Tasmania,309.8,2015
Tasmania,309.8,2016
Tasmania,309.9,2017
Tasmania,309.8,2018
Tasmania,309.7,2019
Tasmania,282.5,2020
Tasmania,278.7,2021
