State,Area,Date
New South Wales,322.7,2002
New South Wales,331.2,2003
New South Wales,341.4,2004
New South Wales,331.6,2005
New South Wales,345.5,2006
New South Wales,359.1,2007
New South Wales,370.1,2008
New South Wales,383.2,2009
New South Wales,391.3,2010
New South Wales,391.6,2011
New South Wales,391.9,2012
New South Wales,392.2,2013
New South Wales,390,2014
New South Wales,393,2015
New South Wales,394.4,2016
New South Wales,394.4,2017
New South Wales,393.2,2018
New South Wales,393.2,2019
New South Wales,360.1,2020
New South Wales,347.9,2021
Victoria,359.9,2002
Victoria,366.6,2003
Victoria,383.3,2004
Victoria,384.6,2005
Victoria,395.7,2006
Victoria,411.9,2007
Victoria,422.1,2008
Victoria,424.2,2009
Victoria,430.5,2010
Victoria,432.9,2011
Victoria,433.6,2012
Victoria,433.5,2013
Victoria,433.1,2014
Victoria,423,2015
Victoria,423,2016
Victoria,421.7,2017
Victoria,420.6,2018
Victoria,418.5,2019
Victoria,386.6,2020
Victoria,382.6,2021
Tasmania,213.4,2002
Tasmania,222.7,2003
Tasmania,225.7,2004
Tasmania,227.2,2005
Tasmania,247.7,2006
Tasmania,274.2,2007
Tasmania,294.1,2008
Tasmania,309.2,2009
Tasmania,309.1,2010
Tasmania,310.7,2011
Tasmania,310.7,2012
Tasmania,310.7,2013
Tasmania,310.7,2014
Tasmania,309.8,2015
Tasmania,309.8,2016
Tasmania,309.9,2017
Tasmania,309.8,2018
Tasmania,309.7,2019
Tasmania,282.5,2020
Tasmania,278.7,2021
Queensland,208,2002
Queensland,212.9,2003
Queensland,214.6,2004
Queensland,225.6,2005
Queensland,232.6,2006
Queensland,240.3,2007
Queensland,250.6,2008
Queensland,256.4,2009
Queensland,230.6,2010
Queensland,232.5,2011
Queensland,233.3,2012
Queensland,233.4,2013
Queensland,233.5,2014
Queensland,230.4,2015
Queensland,230.4,2016
Queensland,230.4,2017
Queensland,230.5,2018
Queensland,230.5,2019
Queensland,205.4,2020
Queensland,205.4,2021
South Australia,149.4,2002
South Australia,157.9,2003
South Australia,163.8,2004
South Australia,167,2005
South Australia,172.5,2006
South Australia,178.3,2007
South Australia,181.8,2008
South Australia,182.5,2009
South Australia,188.3,2010
South Australia,188.5,2011
South Australia,188.5,2012
South Australia,188.5,2013
South Australia,188.5,2014
South Australia,178.8,2015
South Australia,178.8,2016
South Australia,175.9,2017
South Australia,172.2,2018
South Australia,166.8,2019
South Australia,172.3,2020
South Australia,168.1,2021
Western Australia,351.6,2002
Western Australia,360.8,2003
Western Australia,369.8,2004
Western Australia,377.6,2005
Western Australia,388.7,2006
Western Australia,403.7,2007
Western Australia,416.5,2008
Western Australia,425.1,2009
Western Australia,413.3,2010
Western Australia,412.6,2011
Western Australia,405.1,2012
Western Australia,402.9,2013
Western Australia,391.5,2014
Western Australia,383.4,2015
Western Australia,383.4,2016
Western Australia,367.9,2017
Western Australia,361.7,2018
Western Australia,359.9,2019
Western Australia,309.8,2020
Western Australia,307.1,2021
Northern Territory,7,2002
Northern Territory,8.3,2003
Northern Territory,12.3,2004
Northern Territory,16.3,2005
Northern Territory,25.7,2006
Northern Territory,25.9,2007
Northern Territory,29.5,2008
Northern Territory,31.8,2009
Northern Territory,38.1,2010
Northern Territory,40.2,2011
Northern Territory,41.8,2012
Northern Territory,43.5,2013
Northern Territory,44.7,2014
Northern Territory,47.6,2015
Northern Territory,47.6,2016
Northern Territory,47.5,2017
Northern Territory,47.4,2018
Northern Territory,47.4,2019
Northern Territory,49.3,2020
Northern Territory,45.8,2021
Australian Capital Territory,15.9,2002
Australian Capital Territory,5.3,2003
Australian Capital Territory,5.4,2004
Australian Capital Territory,9.5,2005
Australian Capital Territory,9.5,2006
Australian Capital Territory,9.5,2007
Australian Capital Territory,7.9,2008
Australian Capital Territory,7.9,2009
Australian Capital Territory,7.7,2010
Australian Capital Territory,7.7,2011
Australian Capital Territory,7.7,2012
Australian Capital Territory,7.7,2013
Australian Capital Territory,7.7,2014
Australian Capital Territory,7.4,2015
Australian Capital Territory,7.4,2016
Australian Capital Territory,7.4,2017
Australian Capital Territory,7.4,2018
Australian Capital Territory,7.4,2019
Australian Capital Territory,8.7,2020
Australian Capital Territory,8.7,2021
